"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Sub_Setor";"27.4 Fabricação de lâmpadas e outros equipamentos de iluminação";"2007";"2589291";"1461866";"247608";"5046534";"2849180";"482589";"1,51467117955582"
"Sub_Setor";"27.5 Fabricação de eletrodomésticos";"2007";"13169970";"8268876";"864058";"25668300";"16116057";"1684051";"1,44203056761387"
"Sub_Setor";"27.9 Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente";"2007";"2129905";"1067375";"211870";"4151190";"2080316";"412935";"1,66497035360701"
"Setor";"28 Fabricação de máquinas e equipamentos";"2007";"71422995";"42569005";"5577828";"139203573";"82967084";"10871199";"1,48344118501003"
"Sub_Setor";"28.1 Fabricação de motores, bombas, compressores e equipamentos de transmissão";"2007";"14337699";"8365232";"1296513";"27944207";"16303855";"2526907";"1,48396578464863"
"Sub_Setor";"28.2 Fabricação de máquinas e equipamentos de uso geral";"2007";"20422137";"11720945";"1538324";"39802790";"22844147";"2998197";"1,54021590481346"
"Sub_Setor";"28.3 Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária";"2007";"13478618";"8855078";"650590";"26269856";"17258566";"1268001";"1,41795589747086"
"Sub_Setor";"28.4 Fabricação de máquinas-ferramenta";"2007";"4080944";"2245212";"456533";"7953769";"4375923";"889784";"1,51048452018973"
"Sub_Setor";"28.5 Fabricação de máquinas e equipamentos de uso na extração mineral e na construção";"2007";"8900338";"5731017";"552302";"17346778";"11169765";"1076438";"1,41650264772487"
"Sub_Setor";"28.6 Fabricação de máquinas e equipamentos de uso industrial específico";"2007";"10203259";"5651522";"1083565";"19886174";"11014829";"2111871";"1,51494093543261"
"Setor";"29 Fabricação de veículos automotores, reboques e carrocerias";"2007";"175541005";"113345039";"10005580";"342129803";"220909729";"19500897";"1,42310599187184"
"Sub_Setor";"29.1 Fabricação de automóveis, camionetas e utilitários";"2007";"81732277";"53929375";"2978021";"159296387";"105108470";"5804169";"1,43623294588985"
"Sub_Setor";"29.2 Fabricação de caminhões e ônibus";"2007";"22270804";"15405065";"776775";"43405846";"30024505";"1513936";"1,37628378478591"
"Sub_Setor";"29.3 Fabricação de cabines, carrocerias e reboques para veículos automotores";"2007";"7517277";"4717863";"764077";"14651189";"9195125";"1489188";"1,37128042262411"
